Advisor                                 Cannon                                  Chariot                                 Elephant                                General                                 Horse                                   Soldier                                 
20,20,20,20,20,20,20,20,20,             54,51,46,45,50,45,46,51,54,             100,102,103,104,105,104,103,102,100,    20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             40,38,37,35,37,35,37,38,40,             7,6,15,13,13,13,15,6,7,                 
20,20,20,20,20,20,20,20,20,             51,53,46,45,50,45,46,53,51,             100,108,101,104,100,104,101,108,100,    20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             28,39,41,35,34,35,41,39,28,             10,15,13,20,9,20,13,15,10,              
20,20,20,20,20,20,20,20,20,             48,49,45,43,46,43,45,49,48,             98,104,103,104,101,104,103,104,98,      20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             35,34,38,39,35,39,38,34,35,             6,18,22,17,16,17,22,18,6,               
20,20,20,20,20,20,20,20,20,             49,49,49,47,52,47,49,49,49,             104,102,105,104,104,104,105,102,104,    20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             33,42,38,37,36,37,38,42,33,             18,18,17,17,13,17,17,18,18,             
20,20,20,20,20,20,20,20,20,             51,52,49,48,51,48,49,52,51,             100,104,102,103,100,103,102,104,100,    20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             34,40,38,37,38,37,38,40,34,             12,11,13,19,13,19,13,11,12,             
20,20,20,20,20,20,20,20,20,             45,45,48,47,52,47,48,45,45,             100,100,102,102,100,102,102,100,100,    18,25,8,16,18,16,8,25,18,               10,10,10,10,10,10,10,10,10,             34,36,40,41,36,41,40,36,34,             6,10,9,11,14,11,9,10,6,                 
20,20,20,20,20,20,20,20,20,             44,45,46,50,51,50,46,45,44,             96,101,97,102,102,102,97,101,96,        24,22,27,21,19,21,27,22,24,             10,10,10,10,10,10,10,10,10,             29,30,36,36,38,36,36,30,29,             5,10,2,6,16,6,2,10,5,                   
20,20,20,9,15,9,20,20,20,               48,47,52,50,52,50,52,47,48,             95,93,97,98,97,98,97,93,95,             15,19,17,18,23,18,17,19,15,             10,10,10,-15,8,-15,10,10,10,            30,32,33,35,33,35,33,32,30,             10,10,10,10,10,10,10,10,10,             
20,20,20,25,19,25,20,20,20,             46,47,53,41,52,41,53,47,46,             93,97,95,99,98,99,95,97,93,             25,15,16,18,18,18,16,15,25,             10,10,10,-8,4,-8,10,10,10,              34,30,32,30,31,30,32,30,34,             10,10,10,10,10,10,10,10,10,             
20,20,20,19,20,19,20,20,20,             47,49,48,46,49,46,48,49,47,             92,98,99,103,99,103,99,98,92,           22,24,23,21,20,21,23,24,22,             10,10,10,12,22,12,10,10,10,             31,32,33,26,34,26,33,32,31,             10,10,10,10,10,10,10,10,10,             
                                                                                                                                                                                                                                                                                        

Advisor                                 Cannon                                  Chariot                                 Elephant                                General                                 Horse                                   Soldier                                 
20,20,20,20,20,20,20,20,20,             52,56,47,48,51,48,47,56,52,             102,109,104,100,101,100,104,109,102,    20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             36,42,33,37,31,37,33,42,36,             8,4,12,10,6,10,12,4,8,                  
20,20,20,20,20,20,20,20,20,             51,52,48,49,48,49,48,52,51,             99,106,107,104,101,104,107,106,99,      20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             33,40,40,39,35,39,40,40,33,             9,11,14,19,12,19,14,11,9,               
20,20,20,20,20,20,20,20,20,             50,46,47,47,48,47,47,46,50,             101,100,103,108,101,108,103,100,101,    20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             45,36,36,38,35,38,36,36,45,             13,19,16,15,13,15,16,19,13,             
20,20,20,20,20,20,20,20,20,             48,51,50,48,53,48,50,51,48,             101,110,104,105,101,105,104,110,101,    20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             33,37,39,38,38,38,39,37,33,             8,19,20,21,15,21,20,19,8,               
20,20,20,20,20,20,20,20,20,             48,48,57,50,52,50,57,48,48,             100,104,102,102,100,102,102,104,100,    20,20,20,20,20,20,20,20,20,             10,10,10,10,10,10,10,10,10,             35,38,38,38,35,38,38,38,35,             14,14,15,14,14,14,15,14,14,             
20,20,20,20,20,20,20,20,20,             47,45,47,50,52,50,47,45,47,             101,98,95,99,97,99,95,98,101,           16,18,20,22,23,22,20,18,16,             10,10,10,10,10,10,10,10,10,             34,36,36,42,35,42,36,36,34,             8,12,14,11,14,11,14,12,8,               
20,20,20,20,20,20,20,20,20,             46,51,50,47,51,47,50,51,46,             100,102,100,103,100,103,100,102,100,    23,18,20,20,18,20,20,18,23,             10,10,10,10,10,10,10,10,10,             33,32,34,34,34,34,34,32,33,             10,11,7,9,14,9,7,11,10,                 
20,20,20,16,18,16,20,20,20,             47,46,49,47,53,47,49,46,47,             97,97,95,95,99,95,95,97,97,             13,27,20,18,19,18,20,27,13,             10,10,10,10,3,10,10,10,10,              32,30,35,33,32,33,35,30,32,             10,10,10,10,10,10,10,10,10,             
20,20,20,23,15,23,20,20,20,             50,44,43,45,50,45,43,44,50,             93,95,99,94,101,94,99,95,93,            20,22,18,19,17,19,18,22,20,             10,10,10,13,17,13,10,10,10,             32,35,34,30,33,30,34,35,32,             10,10,10,10,10,10,10,10,10,             
20,20,20,15,23,15,20,20,20,             44,42,46,47,50,47,46,42,44,             96,96,98,98,101,98,98,96,96,            22,18,11,22,18,22,11,18,22,             10,10,10,8,9,8,10,10,10,                29,21,30,34,35,34,30,21,29,             10,10,10,10,10,10,10,10,10,             
                                                                                                                                                                                                                                                                                        
